0	1	ha-an-ni-ša₂	ha-an-ni-ša₂	NOUN	X	Case=Gen	0	ROOT	_	_
37	40	a-sap-ra-ku-nu	a-sap-ra-ku-nu	VERB	V	Gender=Com|Mood=Ind|Number=Sing|Person=1|Tense=Past|VerbForm=Fin|VerbStem=G|VerbSuffGen=Masc|VerbSuffNum=Sing|VerbSuffPer=3	39	fixed	_	_
38	41	UD-mu	ud-mu	ADJ	N	_	40	conj	_	_
39	42	ša	ša	ADP	PRP	_	43	case	_	_
40	43	e-gir₂-tu₂	e-gir₂-tu₂	NOUN	_	Case=Gen|Gender=Masc|Number=Plur|PossSuffGen=Masc|PossSuffNum=Sing|PossSuffPer=2	40	nmod	_	_
41	44	an-ni-tu₂	an-ni-tu₂	X	ADV	_	_	_	_	_
42	45	ta-am-mar-u-ni	ta-am-mar-u-ni	NOUN	NOUN	Gender=Masc|Number=Plur	_	_	_	_
43	46	x	x	X	X	_	_	_	_	_
44	47	x	x	X	X	_	_	_	_	_
45	48	di-ib-bi	di-ib-bi	VERB	VERB	Gender=Com|Mood=Ind|Number=Plur|Person=1|Tense=Perf|VerbForm=Fin|VerbStem=G	_	_	_	_
46	49	an-nu-ti	an-nu-ti	NOUN	N	Gender=Fem|Number=Plur	_	_	_	_
47	50	x	x	X	X	_	_	_	_	_
48	51	x	x	X	X	_	_	_	_	_
49	52	x	x	X	X	_	_	_	_	_
50	53	x	x	X	X	_	_	_	_	_
51	54	ina	ina	ADP	PRP	_	55	case	_	_
52	55	pi-i	pi-i	PROPN	X	Case=Gen|Gender=Masc|Number=Sing	_	_	_	_
53	56	ṭe₃-e-mu	ṭe₃-e-mu	ADJ	N	Case=Nom|Gender=Masc|Number=Sing	_	_	_	_
54	57	x	x	X	X	_	_	_	_	_
55	58	x	x	X	X	_	_	_	_	_
56	59	x	x	X	X	_	_	_	_	_
57	60	x	x	X	X	_	_	_	_	_
58	61	lu-nam-mi₃-iš	lu-nam-mi₃-iš	X	X	_	_	_	_	_
59	62	lil-lik	lil-lik	X	X	_	_	_	_	_
60	63	x	x	X	X	_	_	_	_	_
61	64	x	x	X	X	_	_	_	_	_
62	65	x	x	X	X	_	_	_	_	_
63	66	x	x	X	X	_	_	_	_	_
64	67	ma-a	ma-a	ADP	X	_	_	_	_	_
65	68	a-bat	a-bat	PROPN	X	_	69	obj	_	_
66	69	LUGAL	lugal	ADV	ADV	_	_	_	_	_
67	70	at-ta-har	at-ta-har	VERB	VERB	Gender=Com|Mood=Ind|Number=Sing|Person=1|Tense=Perf|VerbForm=Fin|VerbStem=G	_	_	_	_
68	71	x	x	X	X	_	_	_	_	_
69	72	x	x	X	X	_	_	_	_	_
70	73	x	x	X	X	_	_	_	_	_
71	74	is-sak-nu	is-sak-nu	X	X	_	_	_	_	_
72	75	x	x	X	X	_	_	_	_	_
73	76	x	x	X	X	_	_	_	_	_
74	77	x	x	X	X	_	_	_	_	_
75	78	x	x	X	X	_	_	_	_	_
76	79	x	x	X	X	_	_	_	_	_
77	80	x	x	X	X	_	_	_	_	_
78	81	x	x	X	X	_	_	_	_	_
79	82	x+x	x+x	X	X	_	_	_	_	_
80	83	x+x	x+x	X	X	_	_	_	_	_
81	84	x	x	X	X	_	_	_	_	_
82	85	x	x	X	X	_	_	_	_	_
83	86	x	x	X	X	_	_	_	_	_
84	87	x	x	X	X	_	_	_	_	_
85	88	x	x	X	X	_	_	_	_	_
86	89	x	x	X	X	_	_	_	_	_
87	90	x	x	X	X	_	_	_	_	_
88	91	x	x	X	X	_	_	_	_	_
89	92	da	da	X	X	_	_	_	_	_
90	93	x	x	X	X	_	_	_	_	_
91	94	x	x	X	X	_	_	_	_	_
92	95	x	x	X	X	_	_	_	_	_
93	96	x	x	X	X	_	_	_	_	_
94	97	x	x	X	X	_	_	_	_	_
95	98	x	x	X	X	_	_	_	_	_
96	99	x	x	X	X	_	_	_	_	_
97	100	x	x	X	X	_	_	_	_	_
98	101	x	x	X	X	_	_	_	_	_
99	102	x	x	X	X	_	_	_	_	_
100	103	x	x	X	X	_	_	_	_	_
101	104	ma-a	ma-a	X	X	_	_	_	_	_
102	105	x	x	X	X	_	_	_	_	_
103	106	x	x	X	X	_	_	_	_	_
104	107	x	x	X	X	_	_	_	_	_
105	108	x	x	X	X	_	_	_	_	_
106	109	x	x	X	X	_	_	_	_	_
107	110	x	x	X	X	_	_	_	_	_
108	111	x	x	X	X	_	_	_	_	_
109	112	x	x	X	X	_	_	_	_	_
110	113	x	x	X	X	_	_	_	_	_
111	114	ša	ša	ADP	PRP	_	_	_	_	_
112	115	x+x	x+x	X	X	_	_	_	_	_
113	116	x	x	X	X	_	_	_	_	_
114	117	x	x	X	X	_	_	_	_	_
115	118	x	x	X	X	_	_	_	_	_
116	119	x	x	X	X	_	_	_	_	_
117	120	x	x	X	X	_	_	_	_	_
118	121	x	x	X	X	_	_	_	_	_
119	122	x	x	X	X	_	_	_	_	_
120	123	ih-tab-tu	ih-tab-tu	NOUN	VERB	_	_	_	_	_
121	124	x	x	X	X	_	_	_	_	_
122	125	x	x	X	X	_	_	_	_	_
123	126	x	x	X	X	_	_	_	_	_
124	127	x	x	X	X	_	_	_	_	_
125	128	x	x	X	X	_	_	_	_	_
126	129	x	x	X	X	_	_	_	_	_
127	130	x	x	X	X	_	_	_	_	_
128	131	ma-a	ma-a	X	X	_	_	_	_	_
129	132	u₂-ma-a	u₂-ma-a	X	X	_	133	case	_	_
130	133	šum₂-ma	šum₂-ma	ADJ	GN	Case=Gen|Gender=Masc|Number=Sing	_	_	_	_
131	134	x	x	X	X	_	_	_	_	_
132	135	x	x	X	X	_	_	_	_	_
133	136	x	x	X	X	_	_	_	_	_
134	137	x	x	X	X	_	_	_	_	_
135	138	e-pi-iš	e-pi-iš	X	X	_	_	_	_	_
136	139	kal	kalû	VERB	V	_	_	_	_	_
137	140	la	la	X	X	_	_	_	_	_
138	141	x	x	X	X	_	_	_	_	_
139	142	x	x	X	X	_	_	_	_	_
140	143	x	x	X	X	_	_	_	_	_
141	144	x	x	X	X	_	_	_	_	_
142	145	x	x	X	X	_	_	_	_	_
143	146	x	x	X	X	_	_	_	_	_
144	147	u₃	u₃	X	X	_	148	case	_	_
145	148	šum₂-ma	šum₂-ma	PROPN	PROPN	_	_	_	_	_
146	149	ARAD-MEŠ	arad-meš	X	X	_	_	_	_	_
147	150	x+x	x+x	X	X	_	_	_	_	_
148	151	x	x	X	X	_	_	_	_	_
149	152	x	x	X	X	_	_	_	_	_
150	153	x	x	X	X	_	_	_	_	_
151	154	x	x	X	X	_	_	_	_	_
152	155	ma-a	ma-a	X	X	_	_	_	_	_
153	156	a-ta-a	a-ta-a	X	X	_	_	_	_	_
154	157	a-na-ku	a-na-ku	X	X	_	_	_	_	_
155	158	x+x	x+x	X	X	_	_	_	_	_
156	159	x	x	X	X	_	_	_	_	_
157	160	x	x	X	X	_	_	_	_	_
158	161	x	x	X	X	_	_	_	_	_
159	162	ma-a	ma-a	X	X	_	163	obj	_	_
160	163	at-ta	at-ta	NOUN	V	Case=Nom|Gender=Masc|Number=Sing|PossSuffGen=Masc|PossSuffNum=Sing|PossSuffPer=3	_	_	_	_
161	164	taš-x	taš-x	X	X	_	_	_	_	_
162	165	x	x	X	X	_	_	_	_	_
163	166	x	x	X	X	_	_	_	_	_
164	167	x	x	X	X	_	_	_	_	_
165	168	x	x	X	X	_	_	_	_	_
166	169	e-pu-šu	e-pu-šu	X	X	_	_	_	_	_
167	170	an-nu-rig	an-nu-rig	ADV	ADV	_	_	_	_	_
168	171	x	x	X	X	_	_	_	_	_
169	172	x	x	X	X	_	_	_	_	_
170	173	x	x	X	X	_	_	_	_	_
171	174	x	x	X	X	_	_	_	_	_
172	175	ša	ša	ADP	PRP	_	_	_	_	_
173	176	a-na	a-na	VERB	VERB	Gender=Com|Mood=Ind|Number=Sing|Person=1|Tense=Perf|VerbForm=Fin|VerbStem=G	_	_	_	_
174	178	LU₂}A-KIN-šu₂	lu₂}a-kin-šu₂	ADJ	NOUN	_	_	_	_	_
175	180	LU₂}A-KIN-šu₂	lu₂}a-kin-šu₂	NOUN	NOUN	_	_	_	_	_
176	181	x	x	X	X	_	_	_	_	_
177	182	x	x	X	X	_	_	_	_	_
178	183	x	x	X	X	_	_	_	_	_
179	184	x	x	X	X	_	_	_	_	_
180	185	ṭe₃-e-mu	ṭe₃-e-mu	ADJ	NOUN	_	_	_	_	_
181	186	ina	ina	ADP	PRP	_	187	case	_	_
182	187	ŠA₃	ša₃	PROPN	SN	Case=Gen|Gender=Masc|Number=Sing	185	nmod	_	_
183	188	x	x	X	X	_	_	_	_	_
184	189	x	x	X	X	_	_	_	_	_
185	190	x	x	X	X	_	_	_	_	_
186	191	x	x	X	X	_	_	_	_	_
187	192	x	x	X	X	_	_	_	_	_
188	193	02-šu₂	02-šu₂	X	X	_	_	_	_	_
189	194	03-šu₂	03-šu₂	X	NUM	_	_	_	_	_
190	195	x+x	x+x	X	X	_	_	_	_	_
191	196	x	x	X	X	_	_	_	_	_
192	197	x	x	X	X	_	_	_	_	_
193	198	x	x	X	X	_	_	_	_	_
194	199	x	x	X	X	_	_	_	_	_
195	200	x	x	X	X	_	_	_	_	_
196	201	x	x	X	X	_	_	_	_	_
197	202	ša	ša	ADP	PRP	_	_	_	_	_
198	203	ak-x+x	ak-x+x	X	X	_	_	_	_	_
199	204	x	x	X	X	_	_	_	_	_
200	205	x	x	X	X	_	_	_	_	_
201	206	x	x	X	X	_	_	_	_	_
202	207	x	x	X	X	_	_	_	_	_
203	208	x	x	X	X	_	_	_	_	_
204	209	x	x	X	X	_	_	_	_	_
205	210	x	x	X	X	_	_	_	_	SpaceAfter=No
