0	1	ma-a	ma-a	ADP	X|u	_	0	ROOT	_	_
54	69	ŠU.2	šu.2	NOUN	u	Gender=Masc|NounBase=Bound|Number=Sing	67	nmod	_	_
55	71	1}LUGAL-lu-da-a-ri	1}lugal-lu-da-a-ri	NOUN	N	_	_	_	_	_
56	72	ina	ina	ADP	PRP	_	_	_	_	_
57	74	KUR}URI	kur}uri	PROPN	SN	_	76	nsubj	_	_
58	75	hal-qu	hal-qu	PROPN	N	_	74	appos	_	_
59	76	il-lu-ku	il-lu-ku	PROPN	VERB	Gender=Masc	_	_	_	_
60	78	LU₂}da-a.a-li	lu₂}da-a.a-li	PROPN	N	_	_	_	_	_
61	79	ša	ša	ADP	PRP	_	80	case	_	_
62	80	E₂	e₂	PROPN	SN	_	78	nmod	_	_
63	82	LU₂}600-E₂.GAL	lu₂}600-e₂.gal	PROPN	NOUN	_	_	_	_	_
64	84	LU₂}600-E₂.GAL	lu₂}600-e₂.gal	PROPN	NOUN	_	_	_	_	_
65	85	ma-a	ma-a	DET	DET	_	86	case	_	_
66	86	ša	ša	ADP	PRP	_	84	dep	_	_
67	87	ina	ina	ADP	PRP	_	88	case	_	_
68	88	ta-hu-me	ta-hu-me	NOUN	N	_	_	_	_	_
69	89	ša	ša	ADP	PRP	_	_	_	_	_
70	91	KUR}hu-bu-uš-ki-a	kur}hu-bu-uš-ki-a	PROPN	PN	_	_	_	_	_
71	92	x	x	X	X	_	_	_	_	_
72	93	x	x	X	X	_	_	_	_	_
73	94	x	x	X	X	_	_	_	_	_
74	95	x	x	X	X	_	_	_	_	_
75	96	x	x	X	X	_	_	_	_	_
76	97	x	x	X	X	_	_	_	_	_
77	98	uṣ-ṣab-bit-u₂-ni	uṣ-ṣab-bit-u₂-ni	X	X	_	_	_	_	_
78	99	x	x	X	X	_	_	_	_	_
79	100	x	x	X	X	_	_	_	_	_
80	101	x	x	X	X	_	_	_	_	_
81	102	x	x	X	X	_	_	_	_	_
82	103	x	x	X	X	_	_	_	_	_
83	104	x	x	X	X	_	_	_	_	_
84	106	URU}bir-a-te	uru}bir-a-te	NOUN	NOUN	_	_	_	_	_
85	107	x	x	X	X	_	_	_	_	_
86	108	x	x	X	X	_	_	_	_	_
87	109	x	x	X	X	_	_	_	_	_
88	110	x	x	X	X	_	_	_	_	_
89	111	x	x	X	X	_	_	_	_	_
90	112	x	x	X	X	_	_	_	_	_
91	113	x	x	X	X	_	_	_	_	_
92	114	x+x-nu	x+x-nu	X	X	_	_	_	_	_
93	115	x	x	X	X	_	_	_	_	_
94	116	x	x	X	X	_	_	_	_	_
95	117	x	x	X	X	_	_	_	_	_
96	118	x	x	X	X	_	_	_	_	_
97	119	x	x	X	X	_	_	_	_	_
98	120	x	x	X	X	_	_	_	_	_
99	121	x	x	X	X	_	_	_	_	_
100	122	x-bat	x-bat	X	X	_	_	_	_	SpaceAfter=No
