0	1	x-ta-ar-da	x-ta-ar-da	X	X	_	0	ROOT	_	_
27	29	ID₂	id₂	PROPN	MN	_	26	nmod	_	_
28	30	ne₂-e-hi	ne₂-e-hi	NOUN	V	Gender=Masc|NounBase=Bound|Number=Sing	26	appos	_	_
29	31	UD	ud	VERB	X	Gender=Com|Mood=Prec|Number=Sing|Person=1|VerbStem=G	30	conj	_	_
30	32	18-KAM	18-kam	ADJ	ADJ	_	_	_	_	_
31	33	ina	ina	ADP	PRP	_	_	_	_	_
32	35	URU}ŠA₃-URU	uru}ša₃-uru	PROPN	PN	Case=Gen|Gender=Masc|Number=Sing	36	obl	_	_
33	36	aq-ṭi₂-rib	aq-ṭi₂-rib	VERB	V	Gender=Com|Mood=Ind|Number=Sing|Person=1|Tense=Past|VerbForm=Fin|VerbStem=G	_	_	_	_
34	37	ki-i	ki-i	ADV	ADV	_	38	nsubj	_	_
35	38	an-ni-ma	an-ni-ma	ADV	VERB	_	_	_	_	_
36	40	URU}ŠA₃-URU-a.a	uru}ša₃-uru-a.a	ADJ	ADJ	_	39	amod	_	_
37	41	e-tap-šu₂	e-tap-šu₂	ADV	AV	_	_	_	_	_
38	43	GIŠ}BANŠUR-MEŠ	giš}banšur-meš	PROPN	u	Case=Nom|Gender=Masc|Number=Sing	_	_	_	_
39	44	rak-sa	rak-sa	ADJ	PN	_	_	_	_	_
40	46	UDU}SISKUR-MEŠ	udu}siskur-meš	PROPN	PN	Case=Nom|Gender=Masc|Number=Sing	45	conj	_	_
41	47	it-ta-as-hu	it-ta-as-hu	VERB	VERB	Gender=Masc|Mood=Ind|Number=Sing|Person=3|Tense=Perf|Ventive=Yes|VerbForm=Fin|VerbStem=G	_	_	_	_
42	48	ina	ina	ADP	PRP	_	49	case	_	_
43	49	ID₂	id₂	PROPN	PROPN	Case=Gen|Gender=Masc|Number=Sing	_	_	_	_
44	50	ina	ina	ADP	PRP	_	51	case	_	_
45	51	IGI	igi	NOUN	u	Case=Gen|Gender=Masc|NounStem=Bound|Number=Sing	49	conj	_	_
46	52	KA₂-aš-šur	ka₂-aš-šur	PROPN	PN	Gender=Masc|Number=Sing	_	_	_	_
47	53	KA₂-aš-šur	ka₂-aš-šur	PROPN	PN	Gender=Masc	_	_	_	_
48	55	GIŠ}MA₂-MEŠ	giš}ma₂-meš	PROPN	DN	Case=Nom|Gender=Masc|Number=Sing	_	_	_	_
49	56	iṣ-ṣab-tu	iṣ-ṣab-tu	ADP	V	_	_	_	_	_
50	58	TUG₂}maš-ki-ni	tug₂}maš-ki-ni	PROPN	u	_	_	_	_	_
51	59	ina	ina	ADP	PRP	_	60	case	_	_
52	60	ŠA₃-bi	ša₃-bi	PROPN	DN	Gender=Masc	_	_	_	_
53	61	ma-hi-ṣi	ma-hi-ṣi	NOUN	N	Case=Gen|Gender=Masc|NounBase=Free|Number=Sing	60	appos	_	_
54	62	ina	ina	ADP	PRP	_	63	case	_	_
55	63	UGU	ugu	PROPN	u	_	66	obl	_	_
56	64	ID₂	id₂	PROPN	WN	_	63	nmod:poss	_	_
57	65	kam-mu-sa-ku	kam-mu-sa-ku	ADP	N	_	66	advmod	_	_
58	66	EN.NUN	en.nun	ADJ	n	_	61	appos	_	_
59	67	a-na-ṣar	a-na-ṣar	VERB	VERB	Gender=Com|Mood=Ind|Number=Sing|Person=1|Tense=Past|VerbForm=Fin|VerbStem=G|VerbSuffGen=Masc|VerbSuffNum=Sing|VerbSuffPer=3	_	_	_	_
60	68	a-di	a-di	VERB	VERB	Gender=Com|Mood=Ind|Number=Sing|Person=1|Tense=Perf|VerbForm=Fin|VerbStem=G	69	case	_	_
61	69	ŠA₃	ša₃	ADV	MN	_	_	_	_	_
62	70	UD-me	ud-me	PROPN	NOUN	_	_	_	_	_
63	71	ša	ša	ADP	PRP	_	72	case	_	_
64	72	u₂-nam-maš-u-ni	u₂-nam-maš-u-ni	VERB	VERB	Gender=Com|Mood=Prec|Number=Sing|Person=1|VerbStem=G	70	acl	_	_
65	73	ŠA₃-bu	ša₃-bu	PROPN	SN	_	_	_	_	_
66	74	ša	ša	ADP	PRP	_	75	case	_	_
67	75	LUGAL	lugal	NOUN	GN	Case=Gen|Gender=Masc|Number=Sing|PossSuffGen=Masc|PossSuffNum=Plur|PossSuffPer=3	73	nmod	_	_
68	76	EN-ia	en-ia	VERB	ADV	Gender=Masc|Mood=Ind|Number=Sing|Person=3|VerbForm=Stat|VerbStem=G	_	_	_	_
69	77	a-dan-niš	a-dan-niš	ADV	ADV	_	_	_	_	_
70	78	lu	lu	VERB	VERB	_	77	conj	_	_
71	79	DUG₃.GA-šu₂	dug₃.ga-šu₂	ADJ	SN	Case=Nom|Gender=Masc|Number=Sing	_	_	_	_
72	80	UD-MEŠ	ud-meš	PROPN	SN	Case=Gen|Gender=Masc|Number=Sing	79	conj	_	_
73	81	ša	ša	ADP	PRP	_	_	_	_	_
74	83	GIŠ}NA₂	giš}na₂	PROPN	u	Case=Nom|Gender=Masc|Number=Sing	_	_	_	_
75	84	ina	ina	ADP	PRP	_	85	case	_	_
76	85	ŠA₃-bi-ni	ša₃-bi-ni	PROPN	X	Case=Gen|Gender=Masc|Number=Sing	_	_	_	_
77	87	UDU}da-ri-u₂	udu}da-ri-u₂	ADJ	PROPN	_	_	_	_	_
78	88	ina	ina	ADP	PRP	_	89	case	_	_
79	89	IGI	igi	NOUN	X	Case=Gen|Gender=Masc|Number=Sing	_	_	_	_
80	90	i-na-su-hu	i-na-su-hu	NOUN	VERB	Case=Acc|Gender=Fem|Number=Sing|PossSuffGen=Masc|PossSuffNum=Sing|PossSuffPer=3	92	advcl	_	_
81	91	i-su-ri	i-su-ri	ADP	ADP	_	92	case	_	_
82	92	LUGAL	lugal	NOUN	N	Case=Gen|Gender=Masc|Number=Sing|PossSuffNum=Plur|PossSuffPer=3	_	_	_	_
83	93	be-li₂	be-li₂	NOUN	N	Gender=Fem|NounBase=Bound|Number=Sing	_	_	_	_
84	94	i-qab-bi	i-qab-bi	NOUN	N	Case=Nom|Gender=Masc|NounBase=Free|Number=Sing	_	_	_	_
85	95	ma-a	ma-a	ADP	DET	_	96	case	_	_
86	96	UD-mu	ud-mu	ADJ	N	_	94	nmod	_	_
87	97	ša	ša	ADP	PRP	_	98	case	_	_
88	98	TA@v	ta@v	NOUN	N	_	94	nmod	_	_
89	100	URU}ŠA₃-URU	uru}ša₃-uru	PROPN	PN	Gender=Masc|Number=Sing	_	_	_	_
90	101	x	x	X	X	_	_	_	_	_
91	102	x	x	X	X	_	_	_	_	_
92	103	x	x	X	X	_	_	_	_	_
93	104	x	x	X	X	_	_	_	_	_
94	105	x	x	X	X	_	_	_	_	_
95	106	x	x	X	X	_	_	_	_	_
96	107	x	x	X	X	_	_	_	_	_
97	108	x	x	X	X	_	_	_	_	_
98	109	tu-nam-ma-ša₂	tu-nam-ma-ša₂	X	NOUN	_	_	_	_	_
99	110	x	x	X	X	_	_	_	_	_
100	111	x	x	X	X	_	_	_	_	_
101	112	x	x	X	X	_	_	_	_	_
102	113	ina	ina	ADP	PRP	_	114	case	_	_
103	114	IGI	igi	NOUN	X	Case=Gen|Gender=Masc|NounStem=Bound|Number=Sing	_	_	_	_
104	116	LU₂}ERIM-MEŠ	lu₂}erim-meš	PROPN	X	_	_	_	_	_
105	117	a-da-gal	a-da-gal	X	V	_	_	_	_	_
106	118	an-nu-rig	an-nu-rig	ADV	ADV	_	_	_	_	_
107	119	x	x	X	X	_	_	_	_	_
108	120	x	x	X	X	_	_	_	_	_
109	121	x	x	X	X	_	_	_	_	_
110	122	x	x	X	X	_	_	_	_	_
111	123	x	x	X	X	_	_	_	_	_
112	125	LU₂}EN.NAM	lu₂}en.nam	NOUN	NOUN	_	_	_	_	_
113	126	ša	ša	ADP	PRP	_	_	_	_	_
114	128	URU}arrap-ha	uru}arrap-ha	PROPN	SN	Gender=Masc|Number=Sing	_	_	_	_
115	129	x	x	X	X	_	_	_	_	_
116	130	x	x	X	X	_	_	_	_	_
117	131	x	x	X	X	_	_	_	_	_
118	132	x	x	X	X	_	_	_	_	_
119	133	x	x	X	X	_	_	_	_	_
120	134	x	x	X	X	_	_	_	_	_
121	135	x	x	X	X	_	_	_	_	_
122	136	x	x	X	X	_	_	_	_	_
123	137	ina	ina	ADP	PRP	_	138	case	_	_
124	138	ši-a-ri	ši-a-ri	NOUN	NOUN	Case=Gen|Gender=Masc|NounStem=Bound|Number=Sing	_	_	_	_
125	139	šu₂-u	šu₂-u	NOUN	NOUN	Gender=Masc|Number=Plur	_	_	_	_
126	140	x	x	X	X	_	_	_	_	_
127	141	x	x	X	X	_	_	_	_	_
128	142	x	x	X	X	_	_	_	_	_
129	143	x	x	X	X	_	_	_	_	_
130	144	x	x	X	X	_	_	_	_	_
131	145	x	x	X	X	_	_	_	_	_
132	146	x	x	X	X	_	_	_	_	_
133	147	x	x	X	X	_	_	_	_	_
134	148	x	x	X	X	_	_	_	_	_
135	149	x+x	x+x	X	X	_	_	_	_	_
136	150	x	x	X	X	_	_	_	_	_
137	151	x	x	X	X	_	_	_	_	_
138	152	x	x	X	X	_	_	_	_	_
139	153	x	x	X	X	_	_	_	_	_
140	154	x	x	X	X	_	_	_	_	_
141	155	x	x	X	X	_	_	_	_	_
142	156	x	x	X	X	_	_	_	_	_
143	157	x	x	X	X	_	_	_	_	_
144	158	x	x	X	X	_	_	_	_	_
145	159	x+x	x+x	X	X	_	_	_	_	_
146	160	x	x	X	X	_	_	_	_	_
147	161	x	x	X	X	_	_	_	_	_
148	162	x	x	X	X	_	_	_	_	_
149	163	x	x	X	X	_	_	_	_	_
150	164	x	x	X	X	_	_	_	_	_
151	165	x	x	X	X	_	_	_	_	_
152	166	x	x	X	X	_	_	_	_	_
153	167	x	x	X	X	_	_	_	_	_
154	168	x	x	X	X	_	_	_	_	_
155	169	x+x	x+x	X	X	_	_	_	_	_
156	170	na	na	X	X	_	_	_	_	SpaceAfter=No
