0	1	a-bat	a-bat	PROPN	EN	_	3	dep	_	_
67	73	LU₂}GAL-ṣi-x	lu₂}gal-ṣi-x	X	X	_	_	_	_	_
68	74	x	x	X	X	_	_	_	_	_
69	75	x	x	X	X	_	_	_	_	_
70	76	x	x	X	X	_	_	_	_	_
71	78	LU₂}kal-li-a-ni	lu₂}kal-li-a-ni	X	X	_	_	_	_	_
72	79	x	x	X	X	_	_	_	_	_
73	80	x	x	X	X	_	_	_	_	_
74	82	LU₂}e-piš-dul-li	lu₂}e-piš-dul-li	PROPN	PN	_	_	_	_	_
75	84	LU₂}e-piš-dul-li	lu₂}e-piš-dul-li	PROPN	PN	_	87	obl	_	_
76	85	ina	ina	ADP	PRP	_	86	case	_	_
77	86	pa-ni-šu₂-nu	pa-ni-šu₂-nu	PROPN	NOUN	Case=Gen|Gender=Masc|Number=Sing	87	obl	_	_
78	87	lil-li-ku	lil-li-ku	VERB	VERB	Gender=Masc|Mood=Prec|Number=Plur|Person=3|VerbStem=G	_	_	_	_
79	88	ina	ina	ADP	PRP	_	89	case	_	_
80	89	UGU	ugu	X	X	_	_	_	_	_
81	90	x	x	X	X	_	_	_	_	_
82	91	x	x	X	X	_	_	_	_	_
83	92	x	x	X	X	_	_	_	_	_
84	93	x	x	X	X	_	_	_	_	_
85	94	x	x	X	X	_	_	_	_	_
86	95	x	x	X	X	_	_	_	_	_
87	96	x	x	X	X	_	_	_	_	_
88	97	ma-a	ma-a	X	X	_	_	_	_	_
89	98	a-na	a-na	X	X	_	_	_	_	_
90	99	x+x	x+x	X	X	_	_	_	_	_
91	100	x	x	X	X	_	_	_	_	_
92	101	x	x	X	X	_	_	_	_	_
93	102	x	x	X	X	_	_	_	_	_
94	103	re-eh-ti	re-eh-ti	NOUN	NOUN	_	_	_	_	_
95	104	x	x	X	X	_	_	_	_	_
96	105	x	x	X	X	_	_	_	_	_
97	106	x	x	X	X	_	_	_	_	_
98	107	x	x	X	X	_	_	_	_	_
99	108	x	x	X	X	_	_	_	_	_
100	109	le-pu-uš	le-pu-uš	NOUN	NOUN	_	_	_	_	_
101	110	x+x	x+x	X	X	_	_	_	_	_
102	111	x	x	X	X	_	_	_	_	_
103	112	x	x	X	X	_	_	_	_	_
104	113	x	x	X	X	_	_	_	_	_
105	114	na-mar-ku-u	na-mar-ku-u	X	X	_	_	_	_	_
106	115	x	x	X	X	_	_	_	_	_
107	116	x	x	X	X	_	_	_	_	_
108	117	x	x	X	X	_	_	_	_	_
109	118	x	x	X	X	_	_	_	_	_
110	120	LU₂}zak-ku-u₂	lu₂}zak-ku-u₂	PROPN	SN	Gender=Masc|Number=Sing	_	_	_	_
111	121	x	x	X	X	_	_	_	_	_
112	122	x	x	X	X	_	_	_	_	_
113	123	x	x	X	X	_	_	_	_	_
114	124	li-iṣ-ba-tu₂-šu₂-nu	li-iṣ-ba-tu₂-šu₂-nu	X	VERB	_	_	_	_	_
115	125	x	x	X	X	_	_	_	_	_
116	126	x	x	X	X	_	_	_	_	_
117	127	x	x	X	X	_	_	_	_	_
118	128	x+x	x+x	X	X	_	_	_	_	_
119	129	šum₂-ma	šum₂-ma	PROPN	PROPN	Case=Gen|Gender=Masc|Number=Sing	_	_	_	_
120	130	la	la	X	X	_	_	_	_	_
121	131	x	x	X	X	_	_	_	_	_
122	132	x	x	X	X	_	_	_	_	SpaceAfter=No
